unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC
1621468800,2021-05-20 00:00:00,ETH/BTC,0.06684862,0.07062367,0.06100000,0.06827000,10656.18426050,727.497699464335
1621382400,2021-05-19 00:00:00,ETH/BTC,0.07877113,0.07945000,0.06100000,0.06638016,23421.36777569,1554.7141403691462
1621296000,2021-05-18 00:00:00,ETH/BTC,0.07538003,0.07979840,0.07504854,0.07878999,3522.04559201,277.501936974012
1621209600,2021-05-17 00:00:00,ETH/BTC,0.07713219,0.07875821,0.07381570,0.07540777,5989.23219866,451.6346441131476
1621123200,2021-05-16 00:00:00,ETH/BTC,0.07802790,0.08016079,0.07434708,0.07725591,5099.44906294,393.96257785607696
1621036800,2021-05-15 00:00:00,ETH/BTC,0.08172936,0.08240892,0.07762480,0.07798588,5272.69349184,411.1956419314152
1620950400,2021-05-14 00:00:00,ETH/BTC,0.07490999,0.08203440,0.07446975,0.08186835,8219.92369192,672.9515897833987
1620864000,2021-05-13 00:00:00,ETH/BTC,0.07710143,0.07994609,0.07351297,0.07471211,13411.49310115,1002.0009478373598
1620777600,2021-05-12 00:00:00,ETH/BTC,0.07368479,0.08016078,0.07276411,0.07714000,9605.33147214,740.9552697608797
1620691200,2021-05-11 00:00:00,ETH/BTC,0.07070661,0.07368169,0.06900000,0.07355003,5090.29771885,374.3915499303491
1620604800,2021-05-10 00:00:00,ETH/BTC,0.06743000,0.07332372,0.06609418,0.07080772,19804.32824575,1402.2993292131573
1620518400,2021-05-09 00:00:00,ETH/BTC,0.06644000,0.06981000,0.06533774,0.06742506,6948.89762967,468.5298396143575
1620432000,2021-05-08 00:00:00,ETH/BTC,0.06072696,0.06724566,0.05985000,0.06644348,8427.78934573,559.9716528372243
1620345600,2021-05-07 00:00:00,ETH/BTC,0.06189001,0.06220646,0.06016908,0.06074000,3149.96339142,191.3287763948508
1620259200,2021-05-06 00:00:00,ETH/BTC,0.06141000,0.06305292,0.05974637,0.06186392,6635.18268736,410.4784109562241
1620172800,2021-05-05 00:00:00,ETH/BTC,0.06088997,0.06239850,0.05703000,0.06131687,8681.89686980,532.3467417189336
1620086400,2021-05-04 00:00:00,ETH/BTC,0.06007924,0.06316000,0.05738753,0.06088997,13179.90632879,802.5241009628334
1620000000,2021-05-03 00:00:00,ETH/BTC,0.05213045,0.06016379,0.05183215,0.06003532,13315.40851752,799.3948112800389
1619913600,2021-05-02 00:00:00,ETH/BTC,0.05098139,0.05300000,0.05080000,0.05216466,6208.02044639,323.8392758589826
1619827200,2021-05-01 00:00:00,ETH/BTC,0.04808314,0.05114076,0.04737899,0.05097000,4028.86053994,205.3510217207418
1619740800,2021-04-30 00:00:00,ETH/BTC,0.05148838,0.05159658,0.04775185,0.04795000,7133.29033321,342.0412714774195
1619654400,2021-04-29 00:00:00,ETH/BTC,0.05008069,0.05190388,0.04951000,0.05145306,4898.84295596,252.06046054358725
1619568000,2021-04-28 00:00:00,ETH/BTC,0.04842869,0.05035303,0.04756724,0.05008070,20386.16936176,1020.953631955494
1619481600,2021-04-27 00:00:00,ETH/BTC,0.04696000,0.04863000,0.04646440,0.04840001,4942.22586927,239.2037814949267
1619395200,2021-04-26 00:00:00,ETH/BTC,0.04733051,0.04802821,0.04597467,0.04690000,14790.50203183,693.6745452928269
1619308800,2021-04-25 00:00:00,ETH/BTC,0.04428629,0.04736000,0.04391220,0.04736000,6562.46883241,310.7985239029376
1619222400,2021-04-24 00:00:00,ETH/BTC,0.04633304,0.04634000,0.04411780,0.04427000,1743.61000229,77.1896148013783
1619136000,2021-04-23 00:00:00,ETH/BTC,0.04641316,0.04694948,0.04322409,0.04635584,9848.75381494,456.5472560447483
1619049600,2021-04-22 00:00:00,ETH/BTC,0.04389999,0.04826693,0.04356020,0.04643638,14982.05171746,695.7122467316252
1618963200,2021-04-21 00:00:00,ETH/BTC,0.04133684,0.04405920,0.04102962,0.04385176,6334.96173996,277.79922182990833
1618876800,2021-04-20 00:00:00,ETH/BTC,0.03892990,0.04139462,0.03801240,0.04107082,4762.77271183,195.6109807484818
1618790400,2021-04-19 00:00:00,ETH/BTC,0.03988406,0.04040000,0.03829000,0.03882324,5825.24206114,226.15477059773292
1618704000,2021-04-18 00:00:00,ETH/BTC,0.03854904,0.03987582,0.03590000,0.03967303,12309.52410616,488.35611914940887
1618617600,2021-04-17 00:00:00,ETH/BTC,0.03953161,0.04017999,0.03858054,0.03861612,1662.55667845,64.2014882018266
1618531200,2021-04-16 00:00:00,ETH/BTC,0.03984597,0.04005588,0.03815191,0.03947529,3484.01024762,137.53231488777132
1618444800,2021-04-15 00:00:00,ETH/BTC,0.03862614,0.04013950,0.03836000,0.03983496,4447.80256453,177.17803724595
1618358400,2021-04-14 00:00:00,ETH/BTC,0.03618363,0.03908689,0.03609732,0.03856243,5671.08280139,218.6907335528058
1618272000,2021-04-13 00:00:00,ETH/BTC,0.03577295,0.03656282,0.03500000,0.03619865,4233.91636560,153.26205664762645
1618185600,2021-04-12 00:00:00,ETH/BTC,0.03583408,0.03605604,0.03516078,0.03573090,1943.63819658,69.44794203818033
1618099200,2021-04-11 00:00:00,ETH/BTC,0.03566216,0.03610000,0.03542566,0.03584792,1995.68488777,71.54115220198793
1618012800,2021-04-10 00:00:00,ETH/BTC,0.03551080,0.03634453,0.03549188,0.03570780,2800.29612291,99.99241389764569
1617926400,2021-04-09 00:00:00,ETH/BTC,0.03579000,0.03596144,0.03532160,0.03558457,1309.25964791,46.589441589228755
1617840000,2021-04-08 00:00:00,ETH/BTC,0.03506409,0.03592974,0.03500000,0.03584632,1126.06106512,40.36514527983236
1617753600,2021-04-07 00:00:00,ETH/BTC,0.03643994,0.03658563,0.03470620,0.03504002,5774.83931894,202.350485232444
1617667200,2021-04-06 00:00:00,ETH/BTC,0.03567219,0.03658251,0.03560540,0.03641410,3405.62991585,124.01294831875349
1617580800,2021-04-05 00:00:00,ETH/BTC,0.03566216,0.03608961,0.03523646,0.03566216,2905.05649542,103.6005895487073
1617494400,2021-04-04 00:00:00,ETH/BTC,0.03517024,0.03596144,0.03492955,0.03566394,2399.27496353,85.5675983428361
1617408000,2021-04-03 00:00:00,ETH/BTC,0.03622018,0.03622183,0.03458773,0.03522996,3845.97776382,135.49364278026803
1617321600,2021-04-02 00:00:00,ETH/BTC,0.03344852,0.03626010,0.03315526,0.03613892,7527.37462399,272.0311893464047
